Subject,Activity,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tGravityAccMag-mean(),tGravityAccMag-std(),tBodyAccJerkMag-mean(),tBodyAccJerkMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroJerkMag-mean(),tBodyGyroJerkMag-std(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-mean(),fBodyAccMag-std(),fBodyBodyAccJerkMag-mean(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-mean(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-mean(),fBodyBodyGyroJerkMag-std()
3,WALKING_DOWNSTAIRS,0.2924234847,-0.0193554079,-0.1161398429,-0.0574100475,-0.0331503723,-0.3622402455,0.9390577878,-0.2288292143,-0.102352758,-0.9500611296,-0.9460946378,-0.8999439478,0.0725689294,0.0109707769,-0.0020272798,-0.0858010042,-0.111439195,-0.5717352431,-0.1315732765,-0.0139358044,0.1238267384,-0.261653414,-0.546740388,-0.4423077676,-0.077870165,-0.0391567931,-0.0416193131,-0.2856831623,-0.6809473382,-0.3746054123,-0.0628126118,-0.0411340078,-0.0628126118,-0.0411340078,-0.2052392467,-0.0926324495,-0.2152945012,-0.2457946993,-0.5085675771,-0.583919211,-0.0421706943,-0.007700483,-0.4044524143,-0.0654417193,-0.1097223543,-0.3897230341,-0.0906707125,-0.1359385426,-0.5290594506,-0.1654428987,-0.1477282401,-0.6135250743,-0.1290665743,-0.5426941641,-0.3028664612,-0.3086303311,-0.5530945402,-0.5481643133,0.0289413196,-0.2338494221,-0.0494779773,-0.159102288,-0.3323766294,-0.322440827,-0.5762771994,-0.6249108206
3,WALKING_UPSTAIRS,0.2608198731,-0.0324109411,-0.1100648634,-0.3131234376,0.0116280813,-0.3697546041,0.8835334361,-0.3828511537,-0.1629439553,-0.9440408193,-0.9098259539,-0.9094696751,0.0426880986,0.039724927,0.0208205538,-0.4583646169,-0.2516803645,-0.7085517119,0.0721980309,-0.1392754056,0.0215603697,-0.4560392625,-0.5827428459,-0.4923273051,-0.1155105695,-0.040037251,-0.0498180874,-0.507270758,-0.7757741434,-0.5734339476,-0.184014895,-0.3335974325,-0.184014895,-0.3335974325,-0.4369011595,-0.4390205917,-0.3473218122,-0.4088866532,-0.6588614014,-0.7180280403,-0.3920042115,-0.0788094157,-0.5044945285,-0.2853330241,-0.0080398753,-0.3507972263,-0.4784343063,-0.2837725475,-0.6773145341,-0.4864465097,-0.2681915236,-0.7387058639,-0.3782166818,-0.6372935083,-0.4315033615,-0.4848209914,-0.5560459471,-0.5610976497,-0.3158660795,-0.4479943692,-0.4129208985,-0.4806092022,-0.5142115837,-0.4451818024,-0.7168777786,-0.7400334363
5,STANDING,0.2825443909,-0.0070041855,-0.1021710957,-0.9685918157,-0.8694399134,-0.8693273218,0.9601886991,-0.0387101267,0.1386384366,-0.9740882061,-0.9319739434,-0.9146084957,0.0725189859,-0.0022199021,-0.0122812221,-0.9626470802,-0.9312171407,-0.9638321189,-0.0322711903,-0.050987505,0.0690945764,-0.9103952223,-0.9337381041,-0.9074715557,-0.0922249863,-0.0399108189,-0.0422221342,-0.9419300441,-0.9611777416,-0.944755343,-0.9061047011,-0.8797738013,-0.9061047011,-0.8797738013,-0.9568635661,-0.9429620477,-0.9006716307,-0.8670417118,-0.9584059009,-0.9479707236,-0.9645009173,-0.8907963605,-0.9150837991,-0.9706684088,-0.867933178,-0.8582313879,-0.9630592352,-0.9313702088,-0.9584387266,-0.9657789207,-0.9362026007,-0.9680723013,-0.9096618023,-0.9393735245,-0.9071908366,-0.9127809157,-0.9318578114,-0.9167893563,-0.9046413925,-0.8867451707,-0.941825903,-0.9436019602,-0.9045439216,-0.8689139939,-0.952286438,-0.9461964629
5,SITTING,0.2736941395,-0.0099008353,-0.1085403003,-0.980945022,-0.904335121,-0.9260947402,0.8807314439,0.168445524,0.1430068576,-0.9831375416,-0.9399429798,-0.9450089995,0.0749577411,-0.0027877335,0.0033860959,-0.9752048502,-0.9527862611,-0.9734365295,-0.042235521,-0.083548408,0.0823934452,-0.966225485,-0.9500640682,-0.940637937,-0.0889747666,-0.0454702982,-0.0487714734,-0.966037012,-0.9754339114,-0.9648785127,-0.9379783225,-0.9209390277,-0.9379783225,-0.9209390277,-0.9693201557,-0.9657577316,-0.9343016466,-0.9314148105,-0.973848287,-0.9703926105,-0.977450812,-0.9214347357,-0.9460642168,-0.9825908425,-0.9022915301,-0.92184351,-0.9760249511,-0.9542374898,-0.9695013307,-0.9765305473,-0.954464442,-0.97602233,-0.9571172518,-0.9554603593,-0.9380034259,-0.9693903693,-0.9475714716,-0.9473464766,-0.9362906045,-0.9256692911,-0.9644403023,-0.9665453234,-0.944760322,-0.9347468655,-0.9715983702,-0.9706754034
5,LAYING,0.2783343256,-0.0183042123,-0.1079376037,-0.9659345096,-0.9692956133,-0.9685625163,-0.4834705977,0.9548903462,0.2636446919,-0.9456953362,-0.9859640538,-0.977076645,0.0848164824,0.0074746083,-0.0030406716,-0.9833078621,-0.964560431,-0.9854193685,-0.0218935014,-0.0798709596,0.1598943669,-0.9794987065,-0.9774273706,-0.9605837769,-0.102114125,-0.0404446925,-0.0708309688,-0.9834222577,-0.9837594792,-0.9896795923,-0.9667778829,-0.9586127863,-0.9667778829,-0.9586127863,-0.9801412538,-0.9774771454,-0.9469383006,-0.9582879219,-0.9864194225,-0.98377138,-0.9687416785,-0.965419521,-0.9770077246,-0.9649538937,-0.9729091867,-0.9658821912,-0.9826896571,-0.9653285662,-0.9832503094,-0.9856252704,-0.96624258,-0.986135599,-0.9757974917,-0.9782496458,-0.9632029485,-0.9807057698,-0.977257801,-0.9633057381,-0.962234984,-0.9625253694,-0.9773563798,-0.9763819348,-0.9682570688,-0.9592630633,-0.9846180258,-0.9834344931
5,WALKING,0.2778423463,-0.0172850317,-0.1077417765,-0.2940985342,0.0767484028,-0.4570214363,0.9726249598,-0.1004402853,0.0024762363,-0.9793483814,-0.9615854748,-0.9645808039,0.0845888834,-0.0163194101,8.32159351785732E-005,-0.3028910246,-0.0910397429,-0.6128953186,-0.0488919897,-0.069013525,0.0815435496,-0.4908774979,-0.5046220298,-0.3187006152,-0.0888408355,-0.0449559531,-0.0482679596,-0.3576814033,-0.5714381238,-0.157682544,-0.1583386744,-0.3771787334,-0.1583386744,-0.3771787334,-0.2883330241,-0.2822422768,-0.3559330836,-0.4921768236,-0.4445324854,-0.4891997463,-0.2877826074,0.0094603776,-0.4902510907,-0.2975173552,0.0426026831,-0.4830599573,-0.3449548064,-0.1810555542,-0.5904966155,-0.3213903195,-0.0545213604,-0.6334299957,-0.3726687496,-0.5139517184,-0.213127031,-0.5293927902,-0.5026833805,-0.4203670752,-0.3049924889,-0.5196369261,-0.2694816611,-0.3056853761,-0.4842628289,-0.5897415068,-0.5480535748,-0.4556653009
5,WALKING_DOWNSTAIRS,0.2935439271,-0.0085010753,-0.1003199307,0.2750461105,0.0907630761,-0.3258914353,0.9566493526,-0.0607578318,0.021677791,-0.9504909385,-0.9123634209,-0.927192733,0.1096506005,0.0137618234,0.0213397664,0.0322415502,0.0473612315,-0.5226516379,-0.0682945699,-0.0707805999,0.080655999,-0.4606468449,-0.4091341491,-0.2278690424,-0.1101490083,-0.0708296588,-0.0399656936,-0.4113022174,-0.5145914872,-0.0344217467,0.2111388536,0.205422376,0.2111388536,0.205422376,-0.0637528559,-0.029257051,-0.2180298353,-0.3606783053,-0.3971956211,-0.4503032123,0.098432009,0.0792280694,-0.3747400896,0.3365547249,0.0268269875,-0.3533978502,-0.0368012151,-0.0568032958,-0.4919799462,0.0110559332,0.0901720097,-0.5511780753,-0.2953451014,-0.3824830751,-0.0341750279,-0.5149409411,-0.4315527753,-0.374705187,0.1557421688,0.0428533623,0.0091839426,-0.0897356998,-0.3493384147,-0.4841412743,-0.453697247,-0.4871284226
5,WALKING_UPSTAIRS,0.2684594699,-0.0325269755,-0.1074714539,-0.045723778,0.1850224595,-0.3089389788,0.9368218349,-0.2659425691,-0.0232035364,-0.9535799689,-0.9005117198,-0.92141958,0.0795443484,0.0140130363,-0.0255909533,-0.2238965643,-0.1250266127,-0.6383690321,0.0395191121,-0.1171955518,0.0424442819,-0.4433422623,-0.4403458264,-0.2654513331,-0.1430296864,-0.0559895777,-0.0534895401,-0.3052452025,-0.6318220483,-0.2821543785,0.0435562022,-0.1367363838,0.0435562022,-0.1367363838,-0.2474034769,-0.310186546,-0.2355169293,-0.3546878702,-0.4734881679,-0.5579880655,-0.16148534,0.0728903158,-0.4574706768,-0.0047381967,0.1650376312,-0.2892566591,-0.2897254704,-0.1968179209,-0.6067174647,-0.2253278429,-0.1053111528,-0.6688257113,-0.2636150962,-0.5166090468,-0.1398013932,-0.5016855802,-0.4034863932,-0.3803780068,-0.169261525,-0.2540919271,-0.264674939,-0.378616676,-0.3925645309,-0.4404450519,-0.5713441387,-0.5724850198
6,STANDING,0.2803462486,-0.0181236327,-0.1121728319,-0.9817581596,-0.9214931918,-0.9256923719,0.9451390039,-0.2302510361,0.0139193474,-0.9855830668,-0.9684491012,-0.9427950623,0.0730699605,0.0087188399,-0.0048171225,-0.9731326358,-0.949362277,-0.9675472418,-0.028251913,-0.0589823639,0.0767394746,-0.9475612986,-0.9424865863,-0.947782156,-0.1032925342,-0.0428828305,-0.0506432189,-0.9464235932,-0.9624221637,-0.9627581772,-0.9450228765,-0.9393102496,-0.9450228765,-0.9393102496,-0.9671024361,-0.956099146,-0.9394047444,-0.915891573,-0.963406223,-0.9525362339,-0.9771002874,-0.9303364718,-0.942864017,-0.984067374,-0.9214491111,-0.9220672242,-0.9734805388,-0.9514054649,-0.9637435181,-0.9752356777,-0.9506814504,-0.9698958458,-0.9316123844,-0.9432731461,-0.9432396021,-0.9528173953,-0.9425391742,-0.9544557025,-0.945949804,-0.9445641075,-0.9559140054,-0.9553815788,-0.926664297,-0.9231087616,-0.9554251382,-0.9520884995
6,SITTING,0.2767784875,-0.0145911615,-0.1101277287,-0.9801649336,-0.9236821311,-0.9257970971,0.9336929349,0.0682628663,0.0695219657,-0.9888723693,-0.9608759947,-0.9554758324,0.0754721635,2.55649800000024E-006,0.0062372778,-0.9699294764,-0.9451436862,-0.9585729525,-0.0372442283,-0.0899083303,0.0854346006,-0.9573676818,-0.9441300447,-0.9396813509,-0.0936693524,-0.03339867,-0.0465504311,-0.9437148047,-0.9617807264,-0.9587876713,-0.9495435313,-0.9315726556,-0.9495435313,-0.9315726556,-0.962733502,-0.9481818278,-0.9327038122,-0.9212594727,-0.9629292278,-0.9501505718,-0.9753514547,-0.9282643655,-0.9357981153,-0.9824512847,-0.925676956,-0.9257684756,-0.9710374798,-0.9470708213,-0.9541997856,-0.9714887675,-0.946880042,-0.9616365551,-0.9396714005,-0.9438573931,-0.9347648955,-0.9634070465,-0.9449014704,-0.9473267978,-0.9357503913,-0.9395472029,-0.9483486536,-0.9473047004,-0.9297256793,-0.9295491416,-0.952034566,-0.9511966935
6,LAYING,0.2486565201,-0.0102529171,-0.1331195704,-0.9340494221,-0.9246448264,-0.9252161004,-0.4767098788,0.9565938142,0.175867709,-0.8877463104,-0.9591619565,-0.9281307384,0.0963481955,-0.0011452924,0.0032881729,-0.9663410547,-0.9336744944,-0.9596460553,-0.0079605027,-0.1072183151,0.1791020582,-0.9553782251,-0.9436349495,-0.9391418786,-0.1112672846,-0.042410429,-0.0717774744,-0.9396116082,-0.9586288196,-0.9595790716,-0.9188788508,-0.897326246,-0.9188788508,-0.897326246,-0.9547505049,-0.9503419344,-0.9089801747,-0.920914497,-0.9556457382,-0.9531570016,-0.9391142542,-0.9237067914,-0.9380449123,-0.9324629415,-0.9297112199,-0.9240047484,-0.9670724368,-0.9360434202,-0.9544258447,-0.9686191595,-0.9357174528,-0.9635675409,-0.9354397696,-0.9417715444,-0.9326366128,-0.9621649786,-0.9453650979,-0.9471367744,-0.9123516522,-0.9053739798,-0.9486554711,-0.951552664,-0.9301536395,-0.9286948902,-0.9536959574,-0.9555046546
6,WALKING,0.2836588681,-0.0168954189,-0.1103031659,-0.2965387174,0.164213885,-0.5043242072,0.9580674551,-0.2146948523,0.0331888827,-0.9777798965,-0.9642485681,-0.9572050258,0.0699585877,-0.0164831716,-0.007389312,-0.1327847669,0.0080889737,-0.5757774665,-0.0255096186,-0.0744462466,0.0838808799,-0.4460209526,-0.3317022679,-0.3831393347,-0.087889109,-0.0362308972,-0.0539597284,-0.1826009335,-0.4163902461,-0.1666844222,-0.1668407136,-0.2667341674,-0.1668407136,-0.2667341674,-0.1951170261,-0.0706029648,-0.2812078411,-0.3656029168,-0.3212904831,-0.3647083423,-0.1879343231,0.140781622,-0.4985201644,-0.34522769,0.1016996422,-0.5504746218,-0.1509429178,-0.0753742322,-0.5414386161,-0.1926946941,0.0314450678,-0.6086243542,-0.2396507105,-0.3413784295,-0.2035754587,-0.5153238544,-0.3320087068,-0.5122092335,-0.2013866076,-0.4216830935,-0.0554014233,-0.0964999703,-0.3296811234,-0.5106483226,-0.3665005341,-0.4080789065
